g1freelunch,g1absent,g1readscore,g1mathscore,g1listeningscore,g1wordscore
0,4,536,520,568,514
0,2,571,562,577,551
1,2,516,493,526,506
1,3,590,592,592,551
0,14,497,497,551,486
0,12,579,627,685,536
0,7,459,472,574,460
0,6,579,562,645,536
1,11,564,545,601,577
0,5,536,535,548,551
1,12,490,526,519,536
1,8,590,542,574,601
1,4,469,505,531,465
0,1,447,481,521,436
1,1,462,454,571,465
1,8,536,567,580,551
0,7,514,572,592,524
1,3,495,468,543,536
1,6,503,562,611,524
0,2,629,584,611,577
1,8,521,553,559,506
1,0,604,553,556,601
1,7,544,518,584,551
1,16,471,500,554,416
1,6,497,538,574,493
1,1,431,474,504,436
1,15,478,535,580,486
1,1,590,538,568,577
0,7,480,526,584,475
1,4,434,486,548,426
1,9,503,515,565,486
1,5,469,474,534,475
1,3,436,456,512,460
1,1,480,456,529,460
1,3,477,490,541,465
0,3,524,538,606,499
0,6,548,601,645,536
0,0,533,567,568,506
0,4,530,612,577,506
0,3,521,512,546,514
0,7,564,529,574,601
0,15,499,572,574,514
1,6,629,567,574,577
1,10,463,481,506,460
0,8,564,512,556,524
0,2,571,529,588,551
0,4,548,553,551,514
0,2,629,578,565,601
0,24,548,562,574,514
0,1,536,493,548,524
0,2,469,535,551,460
0,6,442,484,574,426
1,3,524,562,611,577
1,11,478,567,559,465
1,22,487,497,529,493
0,14,590,653,618,577
0,9,475,529,556,465
1,33,495,481,531,493
1,15,558,538,580,536
1,3,408,461,536,390
1,6,524,523,534,577
1,3,497,512,548,499
1,0,571,592,611,551
0,3,509,518,554,481
1,10,579,612,601,577
1,0,469,495,588,475
0,2,629,529,618,577
1,14,505,549,596,475
0,3,521,505,577,514
0,17,487,497,568,493
1,18,536,572,588,536
1,9,457,505,524,446
0,5,460,490,584,465
1,0,509,484,519,514
1,2,488,502,568,465
1,12,505,535,546,481
1,6,553,562,568,536
0,4,436,433,509,451
1,2,501,518,571,499
1,2,492,488,548,499
1,3,471,535,521,446
0,12,519,542,606,506
1,4,447,477,524,416
1,15,474,495,538,456
1,1,474,507,574,486
0,2,483,507,536,493
0,9,629,562,559,601
1,2,495,479,534,506
0,0,505,493,559,481
0,13,527,553,565,524
1,1,499,535,536,486
0,2,519,545,577,493
0,4,512,523,568,514
0,1,553,532,584,577
1,4,472,526,504,431
1,7,471,470,541,481
1,10,548,526,611,551
0,3,604,592,660,577
0,24,579,562,562,577
0,7,558,542,559,577
1,2,629,584,559,577
0,5,553,578,588,551
0,12,514,549,574,524
1,36,544,542,596,536
1,2,451,529,562,410
1,1,521,578,568,493
0,0,503,523,548,577
1,10,507,474,538,536
1,4,487,495,548,481
1,3,451,488,543,460
1,16,503,523,580,506
0,16,530,526,584,499
0,4,533,567,577,601
0,8,480,495,554,506
1,5,463,456,521,475
0,5,651,592,611,601
1,8,519,515,580,536
0,8,471,486,574,460
1,5,492,490,556,499
1,0,509,470,543,499
1,15,431,465,531,426
1,14,453,474,543,456
1,10,482,465,548,481
0,16,536,535,559,514
1,22,442,465,524,421
1,20,477,497,519,470
0,0,571,505,634,601
1,2,466,495,554,460
0,1,527,505,559,524
1,13,444,463,559,426
1,1,548,572,580,551
1,0,530,518,526,536
1,3,480,484,571,470
1,19,444,493,509,446
0,2,579,567,571,601
1,4,490,526,531,475
0,8,474,500,571,451
1,10,519,526,565,524
1,3,494,529,517,499
1,9,571,567,611,577
1,5,426,507,588,421
1,13,519,512,601,499
1,43,454,497,536,465
1,3,469,479,526,475
1,17,495,562,592,465
0,5,533,549,584,577
0,4,527,510,565,499
1,29,590,562,556,577
1,0,475,518,577,470
0,28,516,520,571,506
0,3,490,493,601,475
0,2,536,567,601,577
0,0,527,545,571,514
1,4,553,515,568,551
0,8,564,584,606,536
0,2,604,567,577,577
1,5,553,557,580,514
1,6,558,578,592,551
0,2,519,523,548,577
1,14,468,515,541,470
1,11,463,454,548,451
1,10,453,465,519,431
1,5,590,578,584,601
1,20,477,507,531,486
1,1,590,592,634,601
1,1,590,507,551,577
1,23,499,500,551,481
1,5,514,490,517,499
1,20,524,523,556,514
1,31,487,479,571,481
1,5,445,474,517,441
1,2,482,549,606,465
1,19,503,458,490,514
1,5,475,545,541,475
1,16,448,486,509,436
1,18,436,488,501,421
1,1,482,542,611,486
1,21,438,439,529,421
1,17,456,505,548,416
1,17,442,484,531,436
1,13,478,488,536,470
1,2,468,512,577,451
1,1,436,465,519,397
1,24,448,490,512,426
1,7,444,510,529,431
1,3,469,497,546,460
1,32,497,488,519,499
1,7,480,532,551,514
1,5,436,470,519,410
1,14,544,520,546,524
1,12,507,562,556,524
1,10,447,515,541,446
1,3,509,529,577,524
1,5,468,497,524,460
1,4,483,532,559,506
1,16,514,495,554,514
1,11,487,510,543,470
1,7,540,562,562,577
1,15,483,486,541,486
1,12,548,601,588,601
1,0,490,520,543,481
1,20,505,549,601,524
1,1,490,493,548,493
0,15,488,538,592,465
1,5,490,493,562,506
1,3,495,502,534,514
1,27,453,484,546,465
1,22,558,549,571,577
0,6,527,502,536,536
0,3,530,512,534,514
0,9,544,526,554,577
1,7,459,523,531,446
1,8,512,542,625,493
1,6,472,507,596,499
1,13,540,557,634,524
1,2,475,502,538,460
1,9,466,505,571,441
0,5,501,520,565,493
1,8,478,545,565,470
1,4,524,502,541,551
1,61,421,436,509,426
1,0,503,486,531,493
1,5,488,523,568,481
1,11,495,542,546,481
1,0,514,505,554,524
1,1,501,562,596,524
1,5,428,488,509,446
0,5,558,567,611,551
1,5,516,518,548,524
1,2,527,505,536,514
1,42,451,470,551,426
1,3,460,523,568,451
1,1,495,584,562,493
1,2,495,512,577,470
1,2,485,500,554,493
0,7,501,601,584,514
0,6,478,520,592,481
1,0,419,446,538,436
1,8,456,495,543,446
0,7,494,500,574,470
1,5,524,512,588,577
1,2,503,515,541,499
1,0,604,601,618,577
1,4,468,463,526,475
0,4,533,553,551,524
0,2,629,572,601,577
1,4,527,538,565,514
1,2,564,553,580,577
0,3,524,505,541,506
1,9,503,518,568,524
1,0,475,481,536,506
1,8,450,488,596,436
0,12,516,477,534,514
1,14,499,518,592,524
0,7,499,526,551,486
0,4,488,578,584,499
1,17,514,520,556,506
1,0,590,523,546,601
1,4,425,444,506,436
1,22,507,518,565,524
0,5,579,592,645,601
1,10,487,515,554,460
1,1,483,535,551,486
1,2,512,518,543,514
1,7,514,549,588,493
1,14,441,495,565,436
0,3,507,538,584,493
1,16,472,465,556,465
0,1,471,505,568,451
1,1,472,495,546,465
1,9,503,520,571,493
1,4,438,486,534,421
0,5,516,495,548,514
1,7,501,529,531,536
0,4,505,542,559,499
1,0,431,444,512,426
1,4,471,507,546,493
1,3,487,529,559,486
1,10,431,479,526,431
0,5,571,512,546,577
1,10,468,507,554,465
1,18,468,507,531,465
1,22,445,479,509,436
0,6,465,538,565,456
0,4,485,497,592,524
1,12,442,451,531,446
0,8,514,572,574,506
0,12,505,567,580,551
1,20,475,520,536,470
0,5,457,477,519,431
1,7,487,505,526,475
1,4,530,488,571,551
1,2,533,592,559,524
1,11,419,454,517,397
0,9,530,532,645,506
1,1,471,502,548,486
1,21,472,507,568,456
1,10,530,549,565,551
1,0,487,502,554,465
1,5,447,461,536,446
1,0,548,557,559,536
1,10,465,490,529,475
1,6,485,490,543,493
1,2,460,529,584,451
1,6,485,526,521,460
0,7,494,526,577,475
1,4,471,542,577,456
1,3,494,567,618,506
1,3,497,484,521,524
1,22,468,510,592,460
1,9,456,493,519,446
1,7,442,470,529,451
1,5,564,584,601,601
1,10,492,549,568,536
1,3,477,601,556,486
1,1,492,520,541,465
1,4,505,502,548,514
1,4,548,578,592,577
1,22,553,627,606,524
0,31,478,545,538,465
0,5,579,553,584,577
0,16,558,549,611,601
1,4,469,481,529,441
1,25,501,562,625,514
0,7,536,515,548,524
1,2,544,538,584,551
1,3,466,505,538,475
0,7,604,572,588,601
1,3,477,507,556,486
1,8,475,502,546,456
1,8,471,488,543,475
1,8,509,592,580,524
0,21,494,520,625,475
1,15,404,425,498,390
1,4,456,515,541,426
1,11,428,470,504,421
1,8,475,526,554,493
1,2,488,510,546,486
1,2,499,484,571,536
1,19,487,497,538,493
1,1,466,532,556,499
1,8,453,472,534,456
1,1,444,479,526,441
1,1,441,458,498,426
0,3,521,500,568,551
0,13,516,553,588,506
1,1,457,463,496,460
1,0,527,653,645,536
1,12,533,545,606,551
1,0,475,479,568,481
0,9,453,497,562,441
0,10,564,557,625,577
1,5,483,510,554,486
1,2,651,601,685,601
1,4,553,515,568,551
0,5,540,535,588,577
1,3,474,542,543,493
0,2,521,562,606,514
1,4,536,584,568,577
1,6,512,500,577,514
1,11,540,567,556,601
0,3,480,518,551,475
0,14,629,578,592,577
0,0,533,592,577,577
1,1,463,584,592,456
1,13,590,562,618,577
1,6,475,470,534,486
1,14,509,474,543,499
1,3,430,433,512,426
1,1,445,526,571,397
1,1,428,470,531,416
1,3,448,505,565,426
1,7,478,512,526,486
1,19,465,529,534,456
1,0,497,486,548,465
1,5,548,612,580,577
1,31,475,495,611,465
1,3,533,557,577,524
0,9,564,512,592,577
1,4,417,441,498,381
1,4,465,495,571,475
1,24,471,515,538,481
1,11,536,562,601,536
0,13,544,601,584,506
1,11,483,507,559,475
1,2,483,529,565,524
1,12,519,505,584,493
1,8,499,545,548,486
1,1,441,458,504,421
1,0,425,463,562,410
1,22,456,500,506,436
0,3,558,592,584,601
1,1,503,518,554,493
0,1,604,653,685,577
1,10,503,538,551,486
1,1,442,465,548,431
1,1,485,535,577,493
0,3,482,529,548,475
0,2,487,567,596,456
1,3,451,449,524,446
0,6,477,490,556,499
0,8,480,472,548,486
1,27,495,507,562,506
0,9,495,545,565,465
1,17,553,584,592,577
1,1,428,470,538,416
1,4,480,493,565,486
1,6,516,507,562,536
1,14,445,520,534,446
1,8,524,601,568,536
1,14,553,578,611,536
1,12,450,497,588,451
1,0,474,507,543,499
1,5,507,505,568,514
1,1,450,481,526,456
1,2,457,505,529,441
1,5,459,512,512,460
1,22,433,468,526,404
1,5,433,446,512,421
1,2,460,481,509,416
1,8,485,510,562,506
0,0,457,497,543,436
1,6,456,512,568,456
1,5,475,484,541,465
1,12,462,456,541,493
1,7,451,456,534,416
0,10,447,484,538,436
0,3,521,510,556,506
1,11,459,479,524,441
0,7,507,578,611,499
1,4,447,472,538,436
1,8,463,497,512,465
0,15,488,495,524,470
1,8,487,505,559,486
0,8,468,497,559,493
0,14,571,592,634,536
1,6,472,515,538,493
0,10,505,545,568,506
1,23,474,572,577,460
0,2,459,495,531,446
1,11,540,562,568,577
0,0,495,584,618,499
0,5,475,542,592,470
0,10,474,484,588,460
1,28,499,526,596,506
1,8,426,425,487,421
1,12,442,454,526,446
1,10,548,505,538,536
0,13,499,518,534,470
1,2,451,463,521,460
1,1,462,465,536,460
1,11,495,529,554,506
1,2,438,495,506,421
1,8,495,532,536,536
1,2,604,526,556,601
1,10,509,497,541,514
1,27,499,477,512,493
1,16,451,497,546,431
0,10,485,510,519,499
1,4,474,627,584,493
1,1,465,529,562,460
0,6,514,529,554,475
1,6,540,535,536,536
1,8,519,515,554,551
1,2,448,505,548,421
1,0,536,553,571,524
1,22,519,488,543,506
0,5,492,490,546,486
0,8,524,557,588,551
1,4,488,535,577,481
1,15,516,532,556,499
1,7,463,535,543,436
1,12,459,488,548,446
1,6,536,505,551,536
1,4,471,472,517,470
1,2,438,449,529,436
1,6,499,553,618,506
1,15,492,542,551,481
1,6,512,526,556,524
1,1,499,518,531,524
0,1,590,584,618,601
1,0,553,567,568,551
1,14,494,542,601,486
1,4,463,461,541,446
1,17,471,470,546,460
1,15,492,512,565,481
0,11,571,578,596,577
1,23,478,507,548,499
0,16,571,535,568,601
1,1,530,567,584,577
1,2,509,578,588,536
1,8,516,529,596,499
0,0,564,627,596,551
1,9,472,538,596,460
1,16,483,523,601,499
0,8,450,444,509,436
0,1,509,526,601,577
1,1,434,493,487,426
0,6,571,538,568,524
1,7,453,474,538,446
1,9,471,474,551,465
1,7,527,584,592,536
1,3,471,486,521,431
1,1,548,557,546,551
1,4,604,584,592,601
1,7,530,549,559,536
1,19,488,495,562,486
1,3,462,490,543,470
1,9,503,572,580,499
0,2,571,529,562,601
1,6,553,529,611,524
1,3,501,520,531,524
1,0,501,505,536,514
1,22,468,468,519,451
1,3,434,484,541,451
1,6,540,526,580,601
1,2,463,495,521,451
0,13,457,468,538,446
0,8,439,472,501,446
1,10,579,584,565,601
0,9,466,481,538,436
0,1,468,507,546,486
1,0,533,532,618,524
0,4,492,505,543,506
1,14,439,470,536,410
1,8,485,526,546,506
1,8,462,512,571,446
0,9,571,567,601,577
1,0,571,532,574,601
0,11,495,510,554,475
1,11,507,497,521,536
0,4,558,542,601,536
1,9,483,515,571,470
0,1,590,572,634,601
1,13,524,526,565,536
1,3,512,553,577,536
1,11,501,553,543,493
1,7,495,495,559,441
0,4,488,545,565,470
1,1,454,472,546,441
1,1,423,458,512,416
1,8,495,520,541,486
0,1,499,538,568,499
1,5,482,518,543,493
1,7,512,584,574,499
0,21,487,520,571,486
0,0,540,567,625,577
1,19,629,572,606,601
1,6,512,592,611,524
1,3,488,484,538,486
0,4,540,562,588,524
1,36,425,488,543,404
1,7,477,481,521,456
0,4,457,490,521,410
1,7,465,538,546,441
1,4,451,523,565,465
1,3,579,515,548,551
1,19,521,549,625,514
1,17,505,518,521,493
0,0,507,535,574,499
0,10,571,578,543,601
1,10,536,545,556,577
1,16,497,502,551,514
1,3,548,601,596,524
1,1,558,479,504,551
1,4,544,502,536,536
1,17,453,505,574,456
1,16,527,505,577,601
1,19,533,502,584,551
0,14,503,490,559,506
0,25,512,532,592,506
0,4,495,515,541,465
0,2,590,557,562,601
0,2,651,627,645,601
1,14,507,578,606,499
0,39,460,502,554,460
1,32,558,510,580,577
0,6,507,584,584,486
0,14,533,538,580,524
1,7,430,481,551,436
0,2,553,553,618,536
0,18,629,653,634,577
1,3,509,518,536,499
0,16,439,486,618,426
0,10,514,481,521,506
0,4,533,567,592,536
1,1,519,515,596,506
0,7,495,481,588,499
0,4,495,512,584,499
0,6,477,486,514,506
1,5,463,502,546,460
1,2,433,488,524,390
0,5,536,526,559,536
0,4,590,542,551,536
1,14,483,526,559,470
1,18,477,557,568,460
0,17,487,512,562,499
0,5,651,612,618,601
1,16,524,510,529,499
1,5,512,523,574,486
0,13,579,567,588,601
0,3,514,535,577,577
1,28,497,495,529,551
0,3,466,502,543,475
1,11,480,515,536,493
1,4,445,479,551,441
0,3,564,612,611,514
0,1,507,549,565,524
1,2,553,532,568,601
1,16,521,557,606,514
0,9,507,512,543,499
0,6,497,557,559,514
1,23,475,465,551,451
1,8,521,526,592,524
0,4,558,653,618,577
0,4,558,612,634,577
1,4,564,526,546,524
0,19,553,545,596,551
1,10,494,532,580,475
0,11,579,545,625,577
1,0,457,500,543,456
0,1,499,542,580,499
1,0,505,486,574,514
0,0,469,505,562,465
1,14,456,465,556,436
1,32,441,474,531,436
0,9,483,526,574,506
1,7,516,520,588,514
1,1,436,441,487,416
1,5,441,518,543,426
1,6,530,529,606,551
1,4,430,444,519,436
0,19,466,557,556,481
1,0,492,529,592,475
0,0,453,505,556,456
0,9,524,538,565,536
0,7,533,567,580,536
1,12,442,472,509,460
1,9,571,532,562,536
1,4,436,461,526,431
0,4,524,557,592,514
0,12,497,507,546,514
1,5,519,529,543,499
1,5,466,518,588,475
1,14,466,545,588,475
1,14,460,532,526,441
1,9,469,510,554,465
1,5,444,512,524,441
0,8,629,557,601,601
1,2,524,578,543,536
1,7,417,449,534,441
0,8,512,510,538,536
0,13,474,502,543,465
0,1,490,505,559,486
1,7,497,549,565,493
0,2,590,542,592,551
0,1,456,441,543,465
0,5,553,562,625,536
1,10,457,518,548,451
0,3,590,532,588,601
1,14,439,439,554,436
1,10,463,512,543,460
1,9,477,512,548,465
0,2,499,557,577,481
1,11,548,572,562,536
1,0,530,553,606,524
1,8,460,523,574,465
0,8,465,477,543,460
0,2,536,538,554,514
0,6,579,601,625,551
1,12,519,502,556,481
1,6,483,468,562,475
1,3,462,481,538,460
0,6,459,488,541,456
1,1,492,535,596,499
0,5,516,454,517,577
1,14,453,451,504,441
1,8,536,535,554,536
1,7,548,542,559,524
1,3,465,497,568,470
0,6,527,523,562,551
1,12,471,526,546,460
1,3,483,520,546,470
1,1,488,507,556,481
0,3,426,446,496,416
0,6,553,567,584,536
1,4,629,578,625,601
0,4,629,578,580,577
1,5,590,538,565,577
0,3,499,549,577,493
0,9,651,612,606,601
0,22,448,484,584,446
0,9,499,470,519,493
1,13,482,542,577,486
1,16,445,463,519,446
0,1,465,518,584,470
0,3,544,553,565,524
1,22,495,532,536,493
0,13,564,507,565,551
0,3,530,545,588,506
0,5,499,512,568,536
0,1,604,653,645,551
0,36,468,518,559,465
0,5,468,532,565,475
0,7,492,520,548,481
0,5,604,584,606,601
0,5,521,535,596,506
0,2,564,592,606,551
0,0,490,512,568,506
0,0,544,535,568,514
0,4,462,535,568,451
1,14,548,553,568,551
1,2,477,474,541,470
0,13,485,529,588,499
1,7,463,477,554,460
1,10,501,497,548,493
1,3,509,553,580,486
0,2,558,529,509,577
0,1,434,439,506,431
0,14,553,572,596,524
0,6,507,553,565,514
0,4,651,532,618,601
0,10,519,529,565,524
1,9,472,532,554,446
0,0,590,584,625,551
1,4,514,612,568,493
0,1,536,592,601,506
1,18,450,468,526,416
1,10,454,456,551,426
0,2,590,529,571,551
1,15,445,481,543,446
1,4,558,578,565,524
0,1,512,562,596,514
0,9,530,584,580,493
1,0,494,572,618,486
0,8,519,538,601,493
0,7,571,545,565,551
1,3,540,592,568,536
1,0,465,441,509,481
0,1,474,532,574,465
1,2,477,465,556,486
0,7,524,553,611,536
0,14,469,477,562,475
1,6,527,538,556,536
0,7,516,520,611,506
0,7,468,497,554,456
1,6,509,523,546,536
0,7,469,502,584,446
0,4,536,538,592,506
0,1,590,653,625,551
0,4,469,510,559,465
0,14,564,553,611,577
0,3,527,567,577,536
0,21,564,601,634,536
0,15,558,612,588,577
0,2,604,578,618,601
0,2,571,572,601,577
0,6,629,592,611,601
0,5,514,529,538,536
1,4,460,542,546,493
1,1,553,529,601,577
1,5,495,553,625,536
0,5,604,653,660,601
1,0,428,477,490,421
0,9,604,627,596,577
0,6,651,578,601,601
1,5,540,510,577,514
1,2,516,545,548,524
0,8,540,538,584,536
1,7,459,493,556,446
0,1,553,601,618,536
0,2,501,578,588,493
1,24,450,470,554,436
0,4,553,572,634,524
0,2,651,578,685,601
0,9,456,449,517,436
0,0,530,557,592,514
0,10,512,612,618,514
0,9,629,592,634,601
0,19,462,505,536,460
0,0,530,526,606,506
1,3,524,510,541,536
1,30,457,488,529,451
1,23,492,520,625,493
0,7,521,512,568,536
0,8,579,676,618,551
0,27,447,502,588,436
1,1,442,454,477,404
0,14,571,627,606,524
1,4,468,456,524,470
0,3,450,451,524,441
0,9,558,542,606,524
1,5,519,557,596,551
0,12,530,549,543,524
0,2,490,538,601,475
1,14,516,535,546,493
1,13,477,535,565,460
1,14,503,515,571,506
0,5,477,505,554,486
1,0,533,529,562,551
0,24,548,553,596,536
1,26,485,542,548,465
1,7,472,500,546,481
0,0,604,538,596,577
0,3,485,495,534,470
0,0,501,584,634,506
0,8,497,481,556,486
0,9,558,572,584,551
0,15,509,502,571,514
0,0,514,612,618,536
0,4,527,592,568,524
0,6,548,578,611,551
0,3,450,451,490,451
1,14,456,538,580,465
1,7,477,510,568,456
0,3,497,542,584,481
0,5,558,627,634,524
0,1,512,542,524,514
1,23,487,472,546,499
0,2,495,545,584,506
1,2,492,542,556,481
0,6,490,529,571,506
1,3,509,545,571,506
0,2,651,627,645,601
1,15,482,549,588,475
0,3,501,562,568,493
0,5,533,490,551,524
0,9,558,542,625,551
0,1,468,520,546,441
0,15,629,627,606,601
0,5,475,512,574,470
0,5,490,523,562,486
1,14,564,535,606,577
1,14,462,490,536,460
0,4,536,578,580,551
0,2,516,542,611,524
0,6,527,557,645,499
1,1,548,572,574,524
1,7,558,612,601,551
0,15,512,567,580,514
0,14,460,500,504,465
0,7,590,553,562,601
0,5,651,627,618,601
0,6,604,553,596,551
0,2,487,484,543,486
0,3,579,592,601,551
0,13,553,553,571,551
1,20,485,502,531,465
1,28,519,567,568,499
0,5,527,612,634,514
0,2,564,601,645,536
1,8,494,490,543,551
0,17,604,653,611,577
1,3,533,535,592,524
0,4,579,578,606,577
0,4,527,562,556,577
0,1,604,567,556,577
1,3,604,535,577,601
0,10,536,578,584,536
0,1,590,572,588,577
1,19,490,520,554,475
0,0,485,545,565,481
0,5,579,562,565,551
0,6,530,451,526,524
0,12,604,532,568,601
1,9,540,572,571,551
0,2,514,562,580,524
0,3,604,545,606,577
1,3,431,439,536,426
0,2,519,497,559,524
1,23,474,545,592,465
1,4,414,441,506,404
0,8,530,549,606,536
0,2,629,578,546,601
0,0,524,542,559,524
1,7,548,538,580,536
1,3,448,425,506,441
0,2,604,601,634,577
0,4,604,572,601,601
1,2,499,481,529,514
0,14,441,472,584,436
0,8,553,592,634,506
1,3,462,481,524,451
1,4,439,439,509,404
0,16,450,463,548,456
1,9,448,458,521,431
1,4,471,538,584,475
0,1,447,439,514,446
0,7,590,592,601,536
0,6,521,549,606,499
0,3,564,562,625,536
0,27,501,549,577,514
0,3,629,567,596,577
0,8,453,549,568,436
1,9,480,488,536,475
1,6,629,592,580,577
0,9,544,567,592,524
0,2,651,584,565,601
0,6,509,562,556,514
1,9,442,481,496,436
0,0,466,507,548,465
0,2,524,529,584,514
0,2,651,676,660,601
0,8,604,653,601,601
0,0,571,612,588,536
0,0,629,601,625,577
0,5,629,592,601,601
1,21,480,500,509,486
0,5,651,592,611,601
1,4,536,529,541,524
0,3,629,549,634,601
0,9,514,505,606,506
1,11,524,549,571,524
0,0,604,567,596,601
1,20,505,542,577,536
0,1,558,553,559,551
1,12,571,549,596,601
0,1,558,572,611,536
0,4,482,535,543,499
0,0,471,481,606,470
0,0,544,567,571,514
0,0,571,529,596,536
0,18,524,526,618,506
0,11,553,532,606,536
0,6,571,584,618,551
1,12,533,553,584,499
0,16,540,572,559,506
0,8,540,557,588,551
1,13,457,472,546,441
1,13,516,532,584,506
1,17,527,567,580,514
1,11,536,510,568,514
1,0,519,493,548,514
0,16,579,612,601,577
1,1,501,532,546,493
0,4,527,549,611,577
0,5,548,592,601,524
0,21,469,535,596,470
0,2,579,612,611,577
0,2,629,676,685,577
0,7,514,557,634,524
0,3,451,493,565,441
1,9,463,510,551,470
0,10,533,518,559,536
0,8,629,627,645,601
0,10,521,549,606,506
0,4,501,502,571,514
0,2,553,535,584,536
0,4,544,542,568,551
0,3,530,567,580,514
0,3,490,545,571,524
0,7,564,553,660,536
0,10,453,507,541,470
0,10,651,653,660,601
0,15,651,612,625,601
0,11,519,567,571,493
0,3,604,592,606,601
1,9,519,562,565,536
0,3,629,592,571,577
0,2,571,567,601,577
0,3,499,518,588,465
0,1,490,584,584,514
0,0,579,557,580,577
0,5,453,486,534,431
1,3,553,578,562,514
0,0,507,502,588,514
0,4,540,512,577,493
0,3,629,567,606,601
1,14,629,601,571,601
0,0,579,627,588,536
0,15,451,500,521,441
0,2,604,627,574,577
1,22,540,557,660,551
0,6,516,518,580,499
1,11,475,512,524,465
0,5,475,542,606,486
1,22,536,562,606,536
1,14,454,458,541,460
0,4,494,526,611,499
1,9,571,567,592,601
0,2,629,538,577,577
0,12,475,490,559,486
0,12,590,592,611,577
1,1,492,535,568,506
0,8,629,584,606,601
0,6,536,523,580,536
0,4,564,567,611,577
1,9,533,535,574,524
0,5,629,601,660,601
0,2,564,535,534,601
0,6,590,553,634,551
1,7,590,515,559,601
1,10,548,535,559,551
0,18,604,529,568,577
0,5,488,497,565,470
0,8,571,562,606,551
1,5,442,486,562,431
1,10,558,562,601,577
1,10,629,562,551,601
1,15,590,584,577,601
0,4,487,549,559,470
0,11,564,578,625,551
1,18,590,557,592,601
1,17,579,578,580,536
1,4,553,553,596,536
0,1,604,584,571,577
0,7,571,557,580,536
0,3,604,567,596,577
0,18,548,542,538,551
0,3,564,542,538,601
1,0,544,542,592,536
0,1,579,557,580,601
0,15,590,584,634,551
1,7,483,520,548,486
0,11,468,545,588,451
1,9,471,507,565,470
1,15,571,549,601,551
0,10,629,578,577,601
1,0,558,557,574,514
0,5,590,612,685,601
1,1,490,535,556,470
1,5,651,578,606,601
1,5,524,562,606,524
1,4,521,538,571,514
0,13,651,676,645,601
1,7,495,526,529,460
1,8,524,545,554,514
0,10,516,512,531,506
0,7,540,572,584,506
0,1,527,549,574,506
0,9,590,578,574,601
0,0,579,553,596,577
1,6,463,493,554,456
0,8,590,520,562,577
0,6,454,500,546,436
0,2,629,553,584,577
1,0,488,468,559,481
0,4,651,601,660,601
1,3,530,505,543,536
1,21,579,592,596,551
0,4,544,529,546,536
0,12,571,627,577,536
1,4,530,490,577,499
0,10,475,470,524,470
1,9,544,653,611,577
1,4,564,567,592,551
0,5,553,535,571,524
0,5,590,592,618,551
0,5,544,601,611,506
1,12,571,567,660,536
1,0,590,553,618,577
0,10,604,592,618,601
0,5,558,538,568,577
1,6,604,627,584,577
0,2,512,553,588,514
1,15,514,529,580,486
1,3,430,425,501,421
0,7,590,627,601,577
0,3,590,627,634,551
0,16,456,562,580,446
0,6,629,627,596,601
1,11,507,542,580,514
1,0,490,584,596,493
0,2,548,567,584,514
0,3,579,572,606,551
0,14,492,523,554,499
0,4,456,512,584,416
0,9,544,545,625,524
0,7,629,653,660,577
0,13,497,572,588,499
0,0,519,553,562,506
0,0,558,545,568,551
0,14,544,562,565,524
0,1,514,584,571,536
0,5,462,542,559,460
0,4,423,463,556,426
0,6,492,502,526,486
1,2,490,477,534,486
