Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged
,,,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),3.21E+11,10X368,10,40.87956,-73.909674,"2975 TIBBETTS AVE BRONX, NY 10463",BRONX,10463,"06,07,08,09,10,11,12",6,12,No,0.749,N/A,15%,4%,10%,82%,91%,4%,94%,22%,77%,Approaching Target,73%,Approaching Target,81%,Meeting Target,64%,Not Meeting Target,71%,Approaching Target,84%,Approaching Target,Meeting Target,2.37,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,15,0,1,12,0,0,0,0,14,128,19,0,2,15,0,0,0,0,17,157,13,1,1,6,4,1,0,0,9,164,6,0,0,3,3,0,0,0,4,143,8,0,1,6,0,0,0,0,8,125,0,0,0,0,0,0,0,0,0
,,,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",3.21E+11,10X382,10,40.855211,-73.903264,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",PK,5,No,0.918,"$23,846.20 ",30%,0%,24%,75%,99%,0%,94%,20%,91%,Meeting Target,89%,Meeting Target,90%,Meeting Target,85%,Meeting Target,78%,Not Meeting Target,93%,Meeting Target,Approaching Target,2.23,2.3,35,2,0,0,2,0,0,0,0,0,37,3,0,0,3,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,49,2,0,1,1,0,0,0,0,0,53,3,0,0,3,0,0,0,0,0,54,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,3.21E+11,10X386,10,40.855211,-73.903264,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",PK,5,No,0.931,"$23,981.38 ",29%,1%,15%,83%,98%,1%,93%,23%,83%,Approaching Target,83%,Meeting Target,89%,Meeting Target,72%,Approaching Target,83%,Approaching Target,86%,Approaching Target,Approaching Target,2.23,2.25,67,3,0,0,2,0,0,0,0,3,70,3,0,0,2,0,0,0,0,3,80,2,0,0,2,0,0,0,0,2,81,2,0,0,2,0,0,0,0,2,66,1,0,0,1,0,0,0,0,1,68,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,M.S. 390,3.21E+11,10X390,10,40.854367,-73.913024,"1930 ANDREWS AVE BRONX, NY 10453",BRONX,10453,"05,06,07,08",5,8,No,0.911,N/A,26%,1%,13%,85%,98%,1%,93%,24%,84%,Meeting Target,84%,Approaching Target,82%,Meeting Target,80%,Meeting Target,77%,Meeting Target,86%,Approaching Target,Approaching Target,2.15,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,181,4,0,0,4,0,0,0,0,4,133,2,0,0,2,0,0,0,0,2,137,0,0,0,0,0,0,0,0,0,97,1,0,0,0,0,0,0,0,1,104,2,0,0,2,0,0,0,0,2
,,,THE ANGELO PATRI MIDDLE SCHOOL,3.21E+11,10X391,10,40.854655,-73.897036,"2225 WEBSTER AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,Yes,0.911,N/A,36%,1%,25%,72%,97%,1%,90%,35%,86%,Approaching Target,84%,Approaching Target,82%,Approaching Target,78%,Approaching Target,80%,Meeting Target,88%,Meeting Target,Meeting Target,2.09,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,2,0,0,2,0,0,0,1,2,171,2,0,0,2,0,0,0,1,2,160,3,0,0,3,0,0,0,0,3,168,7,0,0,6,0,0,0,0,6,133,3,0,1,2,0,0,0,0,2,139,6,0,3,3,0,0,0,0,5
,,,P.S. 396,3.21E+11,10X396,10,40.854367,-73.913024,"1930 ANDREWS AVE BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04",PK,4,No,0.893,"$28,539.68 ",18%,0%,22%,76%,98%,2%,93%,23%,86%,Meeting Target,87%,Exceeding Target,87%,Meeting Target,81%,Meeting Target,87%,Meeting Target,90%,Meeting Target,Meeting Target,2.3,2.38,52,1,0,0,1,0,0,0,0,0,55,3,0,0,1,0,0,0,0,2,54,2,0,0,2,0,0,0,0,2,54,2,0,0,1,0,0,0,0,2,47,3,0,0,2,0,0,0,0,2,48,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,CRESTON ACADEMY,3.21E+11,10X447,10,40.855211,-73.903264,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,"06,07,08",6,8,No,0.898,N/A,31%,3%,12%,84%,96%,1%,92%,26%,91%,Meeting Target,93%,Exceeding Target,86%,Meeting Target,90%,Exceeding Target,87%,Exceeding Target,93%,Exceeding Target,Exceeding Target,2.3,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,4,0,0,3,0,0,0,0,4,143,13,0,0,12,0,0,0,0,11,155,9,0,1,7,1,0,0,0,8,162,9,0,0,9,0,0,0,0,8,154,6,0,0,6,0,0,0,0,5,161,19,0,0,18,0,0,0,0,16
,,,EAST FORDHAM ACADEMY FOR THE ARTS,3.21E+11,10X459,10,40.859506,-73.900475,"120 E 184TH ST BRONX, NY 10468",BRONX,10468,"06,07,08",6,8,No,0.881,N/A,26%,2%,12%,84%,97%,1%,92%,27%,77%,Approaching Target,78%,Approaching Target,83%,Meeting Target,71%,Not Meeting Target,78%,Approaching Target,83%,Approaching Target,Approaching Target,2.14,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,0,0,1,0,0,0,0,1,83,0,0,0,0,0,0,0,0,0,104,1,0,0,1,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,120,4,0,0,3,0,0,0,0,4,124,1,0,0,0,0,0,0,1,1
,,,P.S. 016 WAKEFIELD,3.211E+11,11X016,11,40.90237,-73.854546,"4550 CARPENTER AVE BRONX, NY 10470",BRONX,10470,"PK,0K,01,02,03,04,05",PK,5,No,0.772,"$45,746.42 ",4%,4%,58%,28%,86%,2%,90%,37%,90%,Meeting Target,87%,Meeting Target,90%,Meeting Target,81%,Meeting Target,85%,Approaching Target,88%,Meeting Target,Approaching Target,2.25,2.37,72,1,1,0,0,0,0,0,0,0,72,4,2,1,0,0,0,0,0,0,66,7,0,5,2,0,0,0,0,0,69,6,0,3,1,0,0,0,0,0,81,2,0,1,1,0,0,0,0,2,81,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 019 JUDITH K. WEISS,3.211E+11,11X019,11,40.899321,-73.867223,"4318 KATONAH AVE BRONX, NY 10470",BRONX,10470,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.35,"$62,840.53 ",8%,4%,8%,28%,36%,59%,95%,9%,96%,Meeting Target,96%,Exceeding Target,89%,Meeting Target,94%,Exceeding Target,83%,Meeting Target,95%,Exceeding Target,Approaching Target,2.81,2.98,56,5,0,0,1,0,3,0,0,3,56,7,0,0,2,0,4,0,0,4,54,7,0,0,1,0,6,0,0,4,52,7,0,0,4,0,3,0,0,3,60,4,0,0,0,0,3,0,0,2,61,11,0,0,1,0,8,0,0,5,47,9,0,0,0,0,5,0,0,5,47,11,0,0,0,0,10,0,0,6,58,13,0,0,0,0,9,0,0,5,59,19,0,0,2,0,12,0,0,9,49,14,0,0,5,0,8,0,0,9,49,7,0,0,2,0,5,0,0,3
,,,P.S. 021 PHILIP H. SHERIDAN,3.211E+11,11X021,11,40.88794,-73.859406,"715 E 225TH ST BRONX, NY 10466",BRONX,10466,"0K,01,02,03,04,05",0K,5,No,0.783,"$36,662.41 ",7%,1%,70%,24%,94%,1%,90%,39%,88%,Approaching Target,91%,Approaching Target,86%,Approaching Target,76%,Approaching Target,79%,Approaching Target,93%,Meeting Target,Approaching Target,2.23,2.31,106,0,0,0,0,0,0,0,0,0,104,1,0,1,0,0,0,0,0,1,106,4,0,2,1,0,0,0,0,3,105,9,0,5,2,0,0,0,0,6,102,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 041 GUN HILL ROAD,3.211E+11,11X041,11,40.874682,-73.867877,"3352 OLINVILLE AVE BRONX, NY 10467",BRONX,10467,"0K,01,02,03,04,05",0K,5,No,0.833,"$35,475.19 ",9%,1%,53%,43%,96%,2%,90%,39%,97%,Meeting Target,95%,Meeting Target,94%,Meeting Target,92%,Exceeding Target,87%,Meeting Target,96%,Exceeding Target,Exceeding Target,2.42,2.57,170,4,0,3,1,0,0,0,0,0,170,17,0,9,8,0,0,0,0,0,158,17,0,11,4,0,0,0,0,14,159,23,0,15,8,0,0,0,0,20,158,9,0,4,4,0,0,0,0,9,161,9,0,5,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 068 BRONX,3.211E+11,11X068,11,40.891483,-73.838736,"4011 MONTICELLO AVE BRONX, NY 10466",BRONX,10466,"PK,0K,01,02,03,04,05",PK,5,No,0.617,"$58,477.18 ",1%,2%,77%,19%,95%,1%,93%,23%,87%,Exceeding Target,81%,Approaching Target,87%,Meeting Target,70%,Approaching Target,82%,Approaching Target,80%,Not Meeting Target,Meeting Target,2.34,2.45,114,1,0,1,0,0,0,0,0,0,116,3,0,2,0,0,0,0,0,1,123,10,0,9,1,0,0,0,0,7,123,10,0,8,1,0,0,0,0,3,131,6,0,4,1,0,0,0,0,3,131,10,0,7,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 076 THE BENNINGTON SCHOOL,3.211E+11,11X076,11,40.869164,-73.860906,"900 ADEE AVE BRONX, NY 10469",BRONX,10469,"0K,01,02,03,04,05",0K,5,No,0.716,"$40,759.79 ",13%,3%,45%,42%,87%,8%,93%,25%,88%,Meeting Target,79%,Approaching Target,88%,Meeting Target,67%,Approaching Target,83%,Approaching Target,85%,Meeting Target,Approaching Target,2.25,2.36,160,2,0,0,1,0,1,0,0,2,159,9,0,4,4,0,1,0,0,6,177,7,0,4,3,0,0,0,0,6,180,8,0,4,3,1,0,0,1,4,177,5,0,2,1,1,1,0,0,3,179,7,0,2,1,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 078 ANNE HUTCHINSON,3.211E+11,11X078,11,40.878465,-73.85058,"1400 NEEDHAM AVE BRONX, NY 10469",BRONX,10469,"0K,01,02,03,04,05",0K,5,No,0.759,"$50,205.02 ",4%,1%,72%,22%,94%,4%,91%,34%,89%,Approaching Target,90%,Meeting Target,91%,Approaching Target,77%,Meeting Target,80%,Approaching Target,89%,Approaching Target,Approaching Target,2.21,2.3,129,1,0,1,0,0,0,0,0,1,131,6,0,4,0,0,0,0,1,5,121,10,0,7,2,0,0,0,0,9,124,13,0,10,1,0,0,0,0,11,103,3,0,3,0,0,0,0,0,2,102,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 083 DONALD HERTZ,3.211E+11,11X083,11,40.849167,-73.858861,"950 RHINELANDER AVE BRONX, NY 10462",BRONX,10462,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.611,"$51,523.99 ",12%,10%,9%,49%,58%,32%,95%,11%,85%,Meeting Target,87%,Exceeding Target,84%,Meeting Target,76%,Approaching Target,77%,Approaching Target,87%,Meeting Target,Meeting Target,2.6,2.76,168,10,0,0,5,0,4,0,0,2,171,25,0,1,12,0,8,0,1,11,166,16,0,1,6,0,5,0,0,4,165,22,0,0,12,0,6,0,0,6,182,16,0,0,4,6,6,0,0,1,182,20,0,0,4,10,6,0,0,5,223,31,0,0,13,8,10,0,0,11,224,50,0,0,16,14,20,0,0,16,215,33,0,0,12,9,10,0,0,14,217,41,0,0,14,10,16,0,0,18,211,26,0,0,12,5,8,0,0,12,202,38,0,0,12,9,16,0,0,14
,,,P.S. 087 BRONX,3.211E+11,11X087,11,40.895363,-73.845825,"1935 BUSSING AVE BRONX, NY 10466",BRONX,10466,"0K,01,02,03,04,05",0K,5,No,0.688,"$52,080.62 ",2%,6%,71%,16%,87%,1%,94%,18%,91%,Approaching Target,85%,Meeting Target,84%,Meeting Target,82%,Meeting Target,82%,Approaching Target,92%,Meeting Target,Meeting Target,2.32,2.51,94,3,0,3,0,0,0,0,0,3,98,6,0,5,0,0,0,0,0,6,114,6,0,5,1,0,0,0,0,6,115,14,0,11,2,1,0,0,0,14,106,5,0,4,0,1,0,0,0,3,105,7,0,3,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 089 BRONX,3.211E+11,11X089,11,40.862563,-73.859202,"980 MACE AVE BRONX, NY 10469",BRONX,10469,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.737,"$42,125.55 ",21%,7%,22%,54%,76%,17%,93%,22%,88%,Meeting Target,85%,Meeting Target,82%,Meeting Target,82%,Meeting Target,78%,Approaching Target,87%,Approaching Target,Meeting Target,2.3,2.29,128,10,0,1,4,0,4,0,1,8,124,11,0,0,7,0,4,0,1,7,130,8,0,4,2,0,1,0,0,5,123,15,0,4,7,0,2,0,0,12,107,5,0,0,2,0,1,0,0,3,102,3,0,0,1,0,0,0,0,1,144,6,0,2,2,2,0,0,1,4,134,18,0,4,6,2,6,0,1,12,169,7,0,3,3,1,0,0,0,5,159,6,0,1,2,2,1,0,0,4,139,7,0,1,2,0,3,0,0,3,127,7,0,0,3,0,1,0,0,3
,,,P.S. 096 RICHARD RODGERS,3.211E+11,11X096,11,40.861185,-73.868521,"2385 OLINVILLE AVE BRONX, NY 10467",BRONX,10467,"0K,01,02,03,04,05",0K,5,No,0.774,"$38,623.61 ",8%,4%,25%,61%,86%,9%,91%,32%,95%,Meeting Target,94%,Meeting Target,96%,Meeting Target,86%,Meeting Target,82%,Approaching Target,94%,Meeting Target,Meeting Target,2.41,2.64,150,7,0,1,3,0,2,0,0,4,152,10,0,2,5,0,2,0,0,5,162,13,0,4,6,0,2,0,0,9,165,18,0,6,6,0,5,0,0,9,165,18,0,5,8,0,2,0,0,7,169,26,0,6,11,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 097 BRONX,3.211E+11,11X097,11,40.863072,-73.846947,"1375 MACE AVE BRONX, NY 10469",BRONX,10469,"PK,0K,01,02,03,04,05",PK,5,No,0.541,"$66,488.21 ",4%,17%,28%,36%,65%,16%,94%,20%,93%,Exceeding Target,81%,Meeting Target,92%,Meeting Target,68%,Approaching Target,87%,Meeting Target,86%,Meeting Target,Meeting Target,2.53,2.71,115,5,0,1,1,2,0,0,0,5,116,12,0,4,2,5,0,0,0,12,113,20,0,5,8,3,0,0,0,14,113,21,0,2,14,2,0,0,1,13,101,1,0,0,0,0,1,0,0,0,102,4,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 103 HECTOR FONTANEZ,3.211E+11,11X103,11,40.892319,-73.861898,"4125 CARPENTER AVE BRONX, NY 10466",BRONX,10466,"0K,01,02,03,04,05",0K,5,No,0.813,"$32,671.09 ",18%,3%,53%,37%,90%,3%,91%,35%,94%,Meeting Target,94%,Meeting Target,94%,Meeting Target,88%,Meeting Target,81%,Approaching Target,95%,Meeting Target,Meeting Target,2.34,2.31,208,8,0,5,2,1,0,0,0,8,209,11,1,5,4,1,0,0,0,11,177,7,1,5,1,0,0,0,0,6,180,8,1,3,4,0,0,0,0,5,147,5,1,4,0,0,0,0,0,3,151,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 105 SEN ABRAHAM BERNSTEIN,3.211E+11,11X105,11,40.852767,-73.866401,"725 BRADY AVE BRONX, NY 10462",BRONX,10462,"0K,01,02,03,04,05",0K,5,No,0.802,"$41,002.93 ",20%,8%,11%,66%,77%,13%,93%,23%,88%,Approaching Target,77%,Approaching Target,88%,Meeting Target,64%,Not Meeting Target,73%,Not Meeting Target,80%,Approaching Target,Meeting Target,2.42,2.58,239,10,0,1,4,2,1,0,0,8,244,31,0,5,14,6,4,0,1,23,191,22,0,7,11,0,1,0,1,18,199,34,0,4,16,0,5,0,2,29,210,12,0,3,5,0,3,0,0,7,217,12,0,1,6,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 106 PARKCHESTER,3.211E+11,11X106,11,40.837105,-73.85484,"2120 ST RAYMOND'S AVE BRONX, NY 10462",BRONX,10462,"PK,0K,01,02,03,04,05",PK,5,No,0.706,"$44,552.48 ",14%,34%,26%,35%,61%,4%,93%,23%,94%,Meeting Target,92%,Meeting Target,92%,Approaching Target,85%,Meeting Target,82%,Approaching Target,94%,Meeting Target,Meeting Target,2.54,2.76,165,5,0,1,2,1,0,0,0,3,170,24,0,5,6,10,0,0,0,15,168,20,0,3,6,8,2,0,0,7,172,32,0,6,4,21,1,0,4,17,203,14,0,1,5,7,0,0,0,7,208,18,0,3,2,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,P.S. 108 PHILIP J. ABINANTI,3.211E+11,11X108,11,40.854535,-73.852919,"1166 NEILL AVE BRONX, NY 10461",BRONX,10461,"0K,01,02,03,04,05",0K,5,No,0.55,"$53,439.93 ",11%,11%,7%,44%,50%,37%,94%,17%,92%,Exceeding Target,80%,Meeting Target,93%,Meeting Target,67%,Approaching Target,79%,Approaching Target,84%,Meeting Target,Meeting Target,2.72,2.92,97,6,0,0,1,2,2,0,0,2,99,21,0,0,4,8,8,0,1,15,66,9,0,0,4,0,2,0,0,6,67,11,0,0,5,0,3,0,1,7,81,12,0,0,3,4,5,0,0,9,84,19,0,4,4,4,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
